room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
18517400,22195694,Entire home/apt,Estrela,0,0,6,3,253
18517941,128538019,Entire home/apt,Benfica,0,0,3,1,52
18518387,75026174,Entire home/apt,Estrela,0,0,2,0,55
18519412,10599350,Entire home/apt,SÌ£o Vicente,0,0,1,1,87
18519635,128547562,Entire home/apt,Santo AntÌ_nio,0,0,10,3,253
18521320,54383854,Entire home/apt,SÌ£o Vicente,4,5,6,3,93
18524129,11131119,Private room,Campolide,0,0,1,4,13
18524182,116575154,Private room,Penha de FranÌ¤a,3,5,1,1,32
18524306,128583723,Entire home/apt,Santa Maria Maior,6,4.5,2,0,62
18524994,17733765,Private room,Avenidas Novas,0,0,2,1,52
18525323,124379642,Private room,Beato,5,5,2,1,26
18525786,120857182,Entire home/apt,SÌ£o Vicente,0,0,3,0,45
18530513,70705091,Entire home/apt,MisericÌ_rdia,1,0,3,2,67
18530807,18063509,Entire home/apt,Santa Maria Maior,7,4.5,4,2,98
18532946,62935806,Entire home/apt,Santo AntÌ_nio,2,0,2,1,45
18533102,6354426,Entire home/apt,SÌ£o Vicente,1,0,2,1,64
18533157,26586969,Private room,Arroios,7,5,2,1,46
18533439,17733765,Private room,Santo AntÌ_nio,0,0,2,1,54
18534082,128673423,Entire home/apt,Estrela,0,0,10,4,438
18535632,34858253,Private room,Campolide,3,4,2,1,20
18539628,72635051,Entire home/apt,Estrela,5,5,4,2,52
18540955,128231592,Entire home/apt,Santo AntÌ_nio,3,5,4,1,64
18541217,2396258,Entire home/apt,Santa Maria Maior,2,0,7,3,183
18541369,48131824,Entire home/apt,Arroios,0,0,5,3,87
18541626,82143969,Private room,Santa Maria Maior,5,4,2,1,32
18541717,15180709,Entire home/apt,Campolide,0,0,2,1,98
18542585,128697005,Entire home/apt,Santo AntÌ_nio,4,5,4,1,52
18543795,128720332,Entire home/apt,MisericÌ_rdia,2,0,6,3,104
18546087,70480060,Entire home/apt,Parque das NaÌ¤Ìµes,0,0,6,0,127
18546359,106149355,Entire home/apt,Areeiro,0,0,16,7,346
18547754,128754415,Entire home/apt,Lumiar,0,0,3,1,57
18547942,39190465,Private room,AlcÌ¢ntara,1,0,4,2,35
18548324,9215665,Entire home/apt,Santo AntÌ_nio,8,4.5,7,2,69
18548485,3595690,Private room,Estrela,0,0,2,1,64
18548856,17263208,Entire home/apt,MisericÌ_rdia,0,0,6,3,242
18554969,128229780,Entire home/apt,MisericÌ_rdia,3,4.5,4,1,104
18557703,9449752,Entire home/apt,Santo AntÌ_nio,0,0,3,1,58
18557827,3007699,Entire home/apt,SÌ£o Vicente,0,0,4,2,98
18557954,2476022,Private room,Penha de FranÌ¤a,1,0,1,0,32
18558826,106149355,Entire home/apt,Avenidas Novas,1,0,9,4,87
18559226,125154809,Entire home/apt,Areeiro,1,0,4,1,95
18559247,29690085,Private room,MisericÌ_rdia,0,0,2,1,27
18559285,95734909,Entire home/apt,Arroios,0,0,8,3,173
18559373,59072146,Entire home/apt,Beato,1,0,2,0,35
18560474,20156051,Private room,Arroios,9,5,2,1,38
18560542,387186,Entire home/apt,Santa Maria Maior,1,0,4,1,83
18560842,65810921,Entire home/apt,SÌ£o Vicente,2,0,2,0,69
18560975,9816110,Entire home/apt,Estrela,2,0,2,1,44
18561077,3695889,Private room,BelÌ©m,0,0,2,1,58
18563663,128875772,Private room,Santo AntÌ_nio,2,0,2,1,28
18563767,104995248,Private room,Arroios,0,0,2,1,22
18564702,106149355,Entire home/apt,Avenidas Novas,0,0,10,6,404
18566185,52283402,Private room,Campolide,1,0,1,1,27
18566214,104995248,Private room,Arroios,0,0,2,1,19
18566563,104995248,Private room,Arroios,0,0,2,1,20
18567592,9312602,Entire home/apt,Santa Maria Maior,7,4.5,6,2,95
18571462,128943387,Private room,Avenidas Novas,0,0,2,1,54
18572623,128951785,Private room,Campo de Ourique,0,0,2,1,32
18572743,128952578,Private room,Avenidas Novas,0,0,2,1,33
18573558,6917705,Entire home/apt,Arroios,3,5,4,1,52
18573584,3953109,Entire home/apt,MisericÌ_rdia,4,5,3,1,66
18574090,128961917,Entire home/apt,Lumiar,4,5,4,2,57
18574528,72646484,Entire home/apt,Arroios,4,5,10,4,114
18577820,3953109,Entire home/apt,Estrela,2,0,3,2,71
18577915,48045283,Entire home/apt,Santo AntÌ_nio,6,5,6,2,109
18578066,128986153,Entire home/apt,BelÌ©m,4,5,4,1,58
18578104,126409321,Entire home/apt,Avenidas Novas,0,0,15,9,461
18580339,3953109,Entire home/apt,Santo AntÌ_nio,2,0,4,2,84
18580381,64148941,Private room,Campo de Ourique,0,0,1,1,23
18583938,128597760,Entire home/apt,Arroios,2,0,5,1,46
18584879,73067251,Entire home/apt,Santa Maria Maior,2,0,4,2,144
18585199,70380821,Private room,Arroios,1,0,1,1,32
18585525,5242473,Private room,Santa Maria Maior,0,0,1,1,33
18589668,124053851,Private room,Campo de Ourique,1,0,2,1,26
18589969,153032,Entire home/apt,Santa Maria Maior,0,0,3,1,58
18590978,129094637,Private room,Alvalade,9,5,2,1,35
18591968,8665250,Entire home/apt,Ajuda,9,5,4,2,58
18592223,62521369,Entire home/apt,Santo AntÌ_nio,7,5,5,1,74
18592312,129105046,Private room,Santa Maria Maior,6,5,3,1,44
18593676,6353304,Private room,Marvila,0,0,2,1,25
18594025,3953109,Entire home/apt,MisericÌ_rdia,2,0,6,2,132
18594994,125039860,Private room,Arroios,0,0,1,1,35
18595018,41912128,Entire home/apt,MisericÌ_rdia,5,5,2,1,104
18595345,129130529,Entire home/apt,Olivais,2,0,6,3,87
18595762,4452933,Private room,MisericÌ_rdia,3,5,2,1,58
18595975,8490750,Entire home/apt,Campo de Ourique,7,5,2,0,55
18596758,129142740,Entire home/apt,Estrela,2,0,3,1,64
18598014,68978114,Entire home/apt,Arroios,0,0,3,1,69
18598068,1097919,Entire home/apt,SÌ£o Vicente,3,5,4,1,64
18598973,26864642,Private room,Areeiro,3,4,2,1,40
18599171,85950923,Entire home/apt,Olivais,4,5,5,2,66
18599638,42829583,Entire home/apt,SÌ£o Vicente,4,5,4,1,75
18600208,103829346,Entire home/apt,Santa Maria Maior,0,0,7,3,79
18603082,129198110,Private room,Arroios,2,0,2,1,47
18603184,129198836,Private room,Arroios,0,0,2,1,48
18603280,129199505,Private room,Arroios,0,0,2,1,49
18605108,24853073,Entire home/apt,MisericÌ_rdia,0,0,4,1,288
18605398,15367134,Entire home/apt,Penha de FranÌ¤a,6,5,4,1,69
18605627,129217049,Entire home/apt,SÌ£o Vicente,3,5,4,1,50
18606372,31546132,Entire home/apt,Arroios,0,0,10,6,183
18607723,42479445,Entire home/apt,MisericÌ_rdia,1,0,6,3,138
18609200,64636336,Entire home/apt,Campo de Ourique,2,0,4,2,56
18610811,42479445,Entire home/apt,Santa Maria Maior,5,4.5,4,1,104
18611438,31546132,Private room,Arroios,0,0,2,1,33
18611938,129273656,Entire home/apt,Santa Maria Maior,8,4,4,2,75
18612338,129278863,Entire home/apt,Olivais,3,5,4,3,72
18613170,64567845,Entire home/apt,MisericÌ_rdia,3,5,5,2,114
18613621,125696081,Private room,Arroios,5,4,2,1,29
18613625,128531414,Entire home/apt,Santa Maria Maior,2,0,6,2,87
18614434,125696081,Private room,Arroios,3,4,2,1,29
18614794,29202743,Entire home/apt,Parque das NaÌ¤Ìµes,0,0,5,3,132
18614841,8491156,Entire home/apt,SÌ£o Vicente,2,0,4,1,67
18614883,129302382,Entire home/apt,Campo de Ourique,7,5,4,2,80
18615209,126461598,Entire home/apt,Santa Maria Maior,0,0,8,4,172
18621181,90112305,Entire home/apt,Penha de FranÌ¤a,0,0,6,2,87
18621288,119437183,Entire home/apt,Santo AntÌ_nio,1,0,8,3,216
18621658,70472522,Entire home/apt,Parque das NaÌ¤Ìµes,0,0,4,1,103
18623649,50438512,Entire home/apt,MisericÌ_rdia,1,0,2,0,90
18624586,2133031,Entire home/apt,MisericÌ_rdia,1,0,4,2,52
18628252,86940443,Entire home/apt,Santa Maria Maior,3,5,2,1,78
18628446,14539928,Entire home/apt,SÌ£o Vicente,3,4.5,4,0,78
18629180,112054264,Entire home/apt,SÌ£o Vicente,1,0,4,1,93
18629723,22944387,Entire home/apt,AlcÌ¢ntara,3,5,3,1,54
18630990,107183514,Private room,Avenidas Novas,6,5,3,1,23
18631555,49687520,Private room,Arroios,4,5,2,1,48
18633188,49687520,Private room,Arroios,6,4.5,2,1,48
18633475,15826725,Entire home/apt,Santa Maria Maior,5,5,6,2,113
18633595,129005428,Entire home/apt,SÌ£o Vicente,3,5,4,1,60
18633863,3953109,Entire home/apt,Campolide,0,0,4,1,66
18633942,49687520,Private room,Arroios,2,0,3,1,46
18634375,11707167,Entire home/apt,Santa Maria Maior,0,0,4,1,115
18634559,36192320,Entire home/apt,Campo de Ourique,4,4.5,6,2,59
18634848,33830428,Entire home/apt,Santo AntÌ_nio,2,0,2,1,29
18635812,104083974,Entire home/apt,MisericÌ_rdia,4,5,4,1,58
18641614,129527832,Private room,Olivais,1,0,2,1,58
18642545,129527832,Private room,Olivais,1,0,2,1,59
18642689,26864642,Private room,Penha de FranÌ¤a,0,0,3,1,45
18643221,129534974,Entire home/apt,Estrela,6,5,4,2,88
18643598,22192546,Entire home/apt,Arroios,1,0,6,2,87
18644258,17096,Entire home/apt,MisericÌ_rdia,0,0,2,1,80
18645374,126730391,Private room,Santa Maria Maior,2,0,1,1,27
18645752,15826725,Entire home/apt,MisericÌ_rdia,5,5,4,1,79
18647315,40938866,Entire home/apt,SÌ£o Domingos de Benfica,2,0,6,3,138
18649702,17104945,Entire home/apt,SÌ£o Vicente,4,5,4,0,83
18650173,85810808,Entire home/apt,Santo AntÌ_nio,2,0,6,2,139
18650221,66963083,Entire home/apt,Olivais,0,0,5,1,109
18650255,129462017,Entire home/apt,Arroios,1,0,6,3,138
18650961,11470182,Private room,Santa Maria Maior,6,5,2,1,40
18651098,1208572,Entire home/apt,MisericÌ_rdia,0,0,7,4,87
18651457,17777000,Entire home/apt,Arroios,3,5,7,3,115
18652768,96659355,Shared room,Alvalade,0,0,1,1,18
18652901,11470182,Private room,Santa Maria Maior,4,5,2,1,40
18654059,116896803,Private room,MisericÌ_rdia,2,0,2,1,46
18654140,96922246,Entire home/apt,AlcÌ¢ntara,2,0,2,1,64
18654210,116896803,Private room,MisericÌ_rdia,2,0,1,1,29
18654399,116896803,Private room,Santo AntÌ_nio,3,4.5,2,1,35
18654492,116896803,Entire home/apt,Santo AntÌ_nio,0,0,9,5,346
18654802,104083974,Entire home/apt,Avenidas Novas,1,0,6,2,69
18655463,60505144,Entire home/apt,Santa Maria Maior,1,0,6,2,162
18659004,129670881,Entire home/apt,Arroios,0,0,10,5,465
18660120,46780297,Entire home/apt,Santa Maria Maior,3,5,4,1,64
18660471,129527832,Private room,Olivais,1,0,4,1,80
18660689,66003103,Private room,Areeiro,0,0,2,1,33
18660701,11093680,Entire home/apt,Santa Maria Maior,0,0,7,3,91
